Median_House_Value,Median_Income,Median_Age,Tot_Rooms,Tot_Bedrooms,Population,Households,Latitude,Longitude,Distance_to_coast,Distance_to_LA,Distance_to_SanDiego,Distance_to_SanJose,Distance_to_SanFrancisco
452600,8.3252,41,880,129,322,126,37.88,-122.23,9263.04077285038,556529.1583418,735501.80698384,67432.5170008434,21250.2137667799
358500,8.3014,21,7099,1106,2401,1138,37.86,-122.22,10225.7330715424,554279.850068765,733236.884360166,65049.9085739663,20880.6003997074
352100,7.2574,52,1467,190,496,177,37.85,-122.24,8259.08510932293,554610.717069378,733525.68293736,64867.2898334847,18811.4874496884
341300,5.6431,52,1274,235,558,219,37.85,-122.25,7768.0865708364,555194.266086292,734095.290744033,65287.1384120522,18031.0475677266
342200,3.8462,52,1627,280,565,259,37.85,-122.25,7768.0865708364,555194.266086292,734095.290744033,65287.1384120522,18031.0475677266
269700,4.0368,52,919,213,413,193,37.85,-122.25,7768.0865708364,555194.266086292,734095.290744033,65287.1384120522,18031.0475677266
299200,3.6591,52,2535,489,1094,514,37.84,-122.25,6843.02084737498,554364.406935648,733249.808577589,64315.9917419372,17538.2099724981
241400,3.12,52,3104,687,1157,647,37.84,-122.25,6843.02084737498,554364.406935648,733249.808577589,64315.9917419372,17538.2099724981
226700,2.0804,42,2555,665,1206,595,37.84,-122.26,6363.94801261769,554949.749518572,733820.824419216,64751.4638629145,16744.4065835069
261100,3.6912,52,3549,707,1551,714,37.84,-122.25,6843.02084737498,554364.406935648,733249.808577589,64315.9917419372,17538.2099724981
281500,3.2031,52,2202,434,910,402,37.85,-122.26,7349.62084160981,555778.657669268,734665.575038723,65716.117724091,17260.0320736199
241800,3.2705,52,3503,752,1504,734,37.85,-122.26,7349.62084160981,555778.657669268,734665.575038723,65716.117724091,17260.0320736199
213500,3075,52,2491,474,1098,468,37.85,-122.26,7349.62084160981,555778.657669268,734665.575038723,65716.117724091,17260.0320736199
191300,2.6736,52,696,191,345,174,37.84,-122.26,6363.94801261769,554949.749518572,733820.824419216,64751.4638629145,16744.4065835069
159200,1.9167,52,2643,626,1212,620,37.85,-122.26,7349.62084160981,555778.657669268,734665.575038723,65716.117724091,17260.0320736199
140000,2125,50,1120,283,697,264,37.85,-122.26,7349.62084160981,555778.657669268,734665.575038723,65716.117724091,17260.0320736199
152500,2775,52,1966,347,793,331,37.85,-122.27,7016.67724394864,556363.889157129,735236.534241465,66154.0501389035,16499.7622031235
155500,2.1202,52,1228,293,648,303,37.85,-122.27,7016.67724394864,556363.889157129,735236.534241465,66154.0501389035,16499.7622031235
158700,1.9911,50,2239,455,990,419,37.84,-122.26,6363.94801261769,554949.749518572,733820.824419216,64751.4638629145,16744.4065835069
162900,2.6033,52,1503,298,690,275,37.84,-122.27,5976.28805827603,555535.931447864,734392.514953906,65195.9361857231,15959.4836572213
147500,1.3578,40,751,184,409,166,37.85,-122.27,7016.67724394864,556363.889157129,735236.534241465,66154.0501389035,16499.7622031235
159800,1.7135,42,1639,367,929,366,37.85,-122.27,7016.67724394864,556363.889157129,735236.534241465,66154.0501389035,16499.7622031235
113900,1725,52,2436,541,1015,478,37.84,-122.27,5976.28805827603,555535.931447864,734392.514953906,65195.9361857231,15959.4836572213
99700,2.1806,52,1688,337,853,325,37.84,-122.27,5976.28805827603,555535.931447864,734392.514953906,65195.9361857231,15959.4836572213
132600,2.6,52,2224,437,1006,422,37.84,-122.27,5976.28805827603,555535.931447864,734392.514953906,65195.9361857231,15959.4836572213
107500,2.4038,41,535,123,317,119,37.85,-122.28,6781.86317450868,556949.957896058,735808.166775323,66600.7590387803,15751.7939745031
93800,2.4597,49,1130,244,607,239,37.85,-122.28,6781.86317450868,556949.957896058,735808.166775323,66600.7590387803,15751.7939745031
105500,1808,52,1898,421,1102,397,37.85,-122.28,6781.86317450868,556949.957896058,735808.166775323,66600.7590387803,15751.7939745031
108900,1.6424,50,2082,492,1131,473,37.84,-122.28,5698.72690317439,556122.950063221,734964.878601402,65649.2259004016,15184.818393621
132000,1.6875,52,729,160,395,155,37.84,-122.28,5698.72690317439,556122.950063221,734964.878601402,65649.2259004016,15184.818393621
122300,1.9274,49,1916,447,863,378,37.84,-122.28,5698.72690317439,556122.950063221,734964.878601402,65649.2259004016,15184.818393621
115200,1.9615,52,2153,481,1168,441,37.84,-122.28,5698.72690317439,556122.950063221,734964.878601402,65649.2259004016,15184.818393621
110400,1.7969,48,1922,409,1026,335,37.84,-122.27,5976.28805827603,555535.931447864,734392.514953906,65195.9361857231,15959.4836572213
104900,1375,49,1655,366,754,329,37.83,-122.27,4967.00519443677,554708.964381727,733549.20691652,64242.7792072335,15480.3405231102
109700,2.7303,51,2665,574,1258,536,37.83,-122.27,4967.00519443677,554708.964381727,733549.20691652,64242.7792072335,15480.3405231102
97200,1.4861,49,1215,282,570,264,37.83,-122.27,4967.00519443677,554708.964381727,733549.20691652,64242.7792072335,15480.3405231102
104500,1.0972,48,1798,432,987,374,37.83,-122.27,4967.00519443677,554708.964381727,733549.20691652,64242.7792072335,15480.3405231102
103900,1.4103,52,1511,390,901,403,37.83,-122.28,4629.27324947942,555296.934642999,734122.302790399,64702.808723221,14680.3019257283
191400,3.48,52,1470,330,689,309,37.83,-122.26,5427.30174564534,554121.830231293,732976.78393276,63791.6049102007,16288.4761173126
176000,2.5898,52,2432,715,1377,696,37.83,-122.26,5427.30174564534,554121.830231293,732976.78393276,63791.6049102007,16288.4761173126
155400,2.0978,52,1665,419,946,395,37.83,-122.26,5427.30174564534,554121.830231293,732976.78393276,63791.6049102007,16288.4761173126
150000,1.2852,51,936,311,517,249,37.83,-122.26,5427.30174564534,554121.830231293,732976.78393276,63791.6049102007,16288.4761173126
118800,1025,49,713,202,462,189,37.84,-122.26,6363.94801261769,554949.749518572,733820.824419216,64751.4638629145,16744.4065835069
188800,3.9643,52,950,202,467,198,37.84,-122.26,6363.94801261769,554949.749518572,733820.824419216,64751.4638629145,16744.4065835069
184400,3.0125,52,1443,311,660,292,37.83,-122.26,5427.30174564534,554121.830231293,732976.78393276,63791.6049102007,16288.4761173126
182300,2.6768,52,1656,420,718,382,37.83,-122.26,5427.30174564534,554121.830231293,732976.78393276,63791.6049102007,16288.4761173126
142500,2026,50,1125,322,616,304,37.83,-122.26,5427.30174564534,554121.830231293,732976.78393276,63791.6049102007,16288.4761173126
137500,1.7348,43,1007,312,558,253,37.82,-122.27,4012.37142896127,553882.992395938,732706.612585184,63294.8031452024,15068.1659493984
187500,0.9506,40,624,195,423,160,37.82,-122.26,4569.92738545906,553294.904246492,732133.456035424,62836.7605992941,15897.3775936094
112500,1775,40,946,375,700,352,37.82,-122.27,4012.37142896127,553882.992395938,732706.612585184,63294.8031452024,15068.1659493984
171900,0.9218,21,896,453,735,438,37.82,-122.27,4012.37142896127,553882.992395938,732706.612585184,63294.8031452024,15068.1659493984
93800,1.5045,43,1868,456,1061,407,37.82,-122.27,4012.37142896127,553882.992395938,732706.612585184,63294.8031452024,15068.1659493984
97500,1.1108,41,3221,853,1959,720,37.82,-122.27,4012.37142896127,553882.992395938,732706.612585184,63294.8031452024,15068.1659493984
104200,1.2475,52,1630,456,1162,400,37.82,-122.27,4012.37142896127,553882.992395938,732706.612585184,63294.8031452024,15068.1659493984
87500,1.6098,52,1170,235,701,233,37.82,-122.28,3585.76569534236,554471.916070705,733280.441797973,63761.7353166999,14244.8825325117
83100,1.4113,52,945,243,576,220,37.82,-122.28,3585.76569534236,554471.916070705,733280.441797973,63761.7353166999,14244.8825325117
87500,1.5057,52,1238,288,622,259,37.82,-122.28,3585.76569534236,554471.916070705,733280.441797973,63761.7353166999,14244.8825325117
85300,0.8172,52,1489,335,728,244,37.82,-122.28,3585.76569534236,554471.916070705,733280.441797973,63761.7353166999,14244.8825325117
80300,1.2171,52,1387,341,1074,304,37.82,-122.28,3585.76569534236,554471.916070705,733280.441797973,63761.7353166999,14244.8825325117
60000,2.5625,2,158,43,94,57,37.82,-122.29,3340.66007838528,555061.672605116,733854.942089999,64237.363256611,13428.6177430611
75700,3.3929,52,1121,211,554,187,37.83,-122.29,4442.14980901594,555885.738355823,734696.069973899,65171.505932885,13889.7595464316
75000,6.1183,49,135,29,86,23,37.82,-122.29,3340.66007838528,555061.672605116,733854.942089999,64237.363256611,13428.6177430611
86100,0.9011,50,760,190,377,122,37.81,-122.29,2249.48592561738,554238.609913974,733014.532597405,63308.9672012626,13046.1867199217
76100,1191,52,1224,237,521,159,37.81,-122.3,2214.98605591486,554830.150618183,733590.436366291,63800.2105341514,12212.9143616844
73500,2.5938,48,828,182,392,133,37.81,-122.3,2214.98605591486,554830.150618183,733590.436366291,63800.2105341514,12212.9143616844
78400,1.1667,52,1010,209,604,187,37.81,-122.3,2214.98605591486,554830.150618183,733590.436366291,63800.2105341514,12212.9143616844
84400,0.8056,48,1455,354,788,332,37.81,-122.3,2214.98605591486,554830.150618183,733590.436366291,63800.2105341514,12212.9143616844
81300,2.6094,52,1027,244,492,147,37.8,-122.29,1197.17435507093,553416.55475779,732174.843969919,62386.5743196906,12749.5513875236
85000,1.8516,52,572,109,274,82,37.81,-122.3,2214.98605591486,554830.150618183,733590.436366291,63800.2105341514,12212.9143616844
129200,0.9802,46,2801,644,1823,611,37.81,-122.29,2249.48592561738,554238.609913974,733014.532597405,63308.9672012626,13046.1867199217
82500,1.7719,26,768,152,392,127,37.81,-122.29,2249.48592561738,554238.609913974,733014.532597405,63308.9672012626,13046.1867199217
95200,0.7286,46,935,297,582,277,37.81,-122.29,2249.48592561738,554238.609913974,733014.532597405,63308.9672012626,13046.1867199217
75000,1.75,49,844,204,560,152,37.81,-122.29,2249.48592561738,554238.609913974,733014.532597405,63308.9672012626,13046.1867199217
67500,0.4999,46,12,4,18,7,37.81,-122.29,2249.48592561738,554238.609913974,733014.532597405,63308.9672012626,13046.1867199217
137500,2483,20,835,161,290,133,37.81,-122.29,2249.48592561738,554238.609913974,733014.532597405,63308.9672012626,13046.1867199217
177500,0.9241,17,1237,462,762,439,37.81,-122.28,2599.63896101145,553647.898802722,732439.298088987,62826.2458140826,13885.0621478909
102100,2.4464,36,2914,562,1236,509,37.81,-122.28,2599.63896101145,553647.898802722,732439.298088987,62826.2458140826,13885.0621478909
108300,1.1111,19,1207,243,721,207,37.81,-122.28,2599.63896101145,553647.898802722,732439.298088987,62826.2458140826,13885.0621478909
112500,0.8026,23,1745,374,1054,325,37.81,-122.29,2249.48592561738,554238.609913974,733014.532597405,63308.9672012626,13046.1867199217
131300,2.0114,38,684,176,344,155,37.8,-122.28,1769.57399830806,552824.887316576,731598.874137534,61896.5933970324,13606.8395334019
162500,1.5,17,924,289,609,289,37.81,-122.28,2599.63896101145,553647.898802722,732439.298088987,62826.2458140826,13885.0621478909
112500,1.1667,52,210,56,183,56,37.81,-122.27,3162.27301203445,553058.019948868,731864.734425001,62352.2443051942,14728.5832891898
112500,1.5208,52,340,97,200,87,37.81,-122.28,2599.63896101145,553647.898802722,732439.298088987,62826.2458140826,13885.0621478909
137500,0.8075,52,386,164,346,155,37.81,-122.28,2599.63896101145,553647.898802722,732439.298088987,62826.2458140826,13885.0621478909
118800,1.8088,35,948,184,467,169,37.81,-122.28,2599.63896101145,553647.898802722,732439.298088987,62826.2458140826,13885.0621478909
98200,2.4083,52,773,143,377,115,37.81,-122.28,2599.63896101145,553647.898802722,732439.298088987,62826.2458140826,13885.0621478909
118800,977,40,880,451,582,380,37.81,-122.27,3162.27301203445,553058.019948868,731864.734425001,62352.2443051942,14728.5832891898
162500,0.76,10,875,348,546,330,37.81,-122.27,3162.27301203445,553058.019948868,731864.734425001,62352.2443051942,14728.5832891898
137500,0.9722,10,105,42,125,39,37.8,-122.27,2524.61461566918,552234.051520118,731023.57491033,61415.3521066468,14466.7053815103
500001,1.2434,52,249,78,396,85,37.8,-122.27,2524.61461566918,552234.051520118,731023.57491033,61415.3521066468,14466.7053815103
162500,2.0938,16,994,392,800,362,37.8,-122.27,2524.61461566918,552234.051520118,731023.57491033,61415.3521066468,14466.7053815103
137500,0.8668,52,215,87,904,88,37.8,-122.28,1769.57399830806,552824.887316576,731598.874137534,61896.5933970324,13606.8395334019
162500,0.75,52,96,31,191,34,37.8,-122.28,1769.57399830806,552824.887316576,731598.874137534,61896.5933970324,13606.8395334019
187500,2.6354,27,1055,347,718,302,37.79,-122.27,2284.78654341632,551411.091610598,730183.136524816,60484.3898758721,14286.8058622309
179200,1.8477,39,1715,623,1327,467,37.8,-122.27,2524.61461566918,552234.051520118,731023.57491033,61415.3521066468,14466.7053815103
130000,2.0096,36,5329,2477,3469,2323,37.8,-122.26,3340.67161897622,551644.050046826,730448.94787868,60943.0574938264,15328.7151395687
183800,2.8345,31,4596,1331,2048,1180,37.82,-122.26,4569.92738545906,553294.904246492,732133.456035424,62836.7605992941,15897.3775936094
125000,2.0062,29,335,107,202,91,37.81,-122.26,3845.2217774209,552468.976024466,731290.84319253,61887.1630402615,15575.9953846421
170000,1.2185,22,3682,1270,2024,1250,37.82,-122.26,4569.92738545906,553294.904246492,732133.456035424,62836.7605992941,15897.3775936094
193100,2.6104,37,3633,1085,1838,980,37.82,-122.26,4569.92738545906,553294.904246492,732133.456035424,62836.7605992941,15897.3775936094
257800,2.4912,29,4656,1414,2304,1250,37.81,-122.25,4595.14987977277,551880.769709182,730717.62598178,61431.2046241796,16426.696262621
273400,3.2177,28,5806,1603,2563,1497,37.81,-122.25,4595.14987977277,551880.769709182,730717.62598178,61431.2046241796,16426.696262621
237500,3125,39,854,242,389,228,37.81,-122.25,4595.14987977277,551880.769709182,730717.62598178,61431.2046241796,16426.696262621
350000,2.5795,52,2155,701,895,613,37.81,-122.25,4595.14987977277,551880.769709182,730717.62598178,61431.2046241796,16426.696262621
335700,2.8406,34,5871,1914,2689,1789,37.81,-122.26,3845.2217774209,552468.976024466,731290.84319253,61887.1630402615,15575.9953846421
313400,4.9306,52,1509,225,674,244,37.82,-122.24,5923.30723562356,552121.245224023,730989.167275653,61948.1293385827,17570.2225198277
268500,3.2727,52,2026,482,709,456,37.81,-122.24,5384.14210717744,551293.403690291,730145.084386076,60984.573686706,17280.2002025792
259400,3.1691,52,1758,460,686,422,37.81,-122.25,4595.14987977277,551880.769709182,730717.62598178,61431.2046241796,16426.696262621
275700,3.9,52,3481,751,1444,718,37.82,-122.24,5923.30723562356,552121.245224023,730989.167275653,61948.1293385827,17570.2225198277
225000,3.9063,28,3337,855,1520,802,37.82,-122.25,5216.61298549131,552707.654295596,731560.973735584,62387.8034836989,16731.6360795001
262500,5.0917,52,1424,289,550,253,37.82,-122.25,5216.61298549131,552707.654295596,731560.973735584,62387.8034836989,16731.6360795001
218500,2.6429,32,3809,1098,1806,1022,37.82,-122.25,5216.61298549131,552707.654295596,731560.973735584,62387.8034836989,16731.6360795001
255000,3.0233,26,3959,1196,1749,1217,37.82,-122.25,5216.61298549131,552707.654295596,731560.973735584,62387.8034836989,16731.6360795001
224100,3.1484,52,2376,559,939,519,37.83,-122.25,5981.93628131735,553535.53485847,732405.035422692,63349.4750379013,17103.5609998378
243100,3.4722,35,1613,428,675,422,37.83,-122.25,5981.93628131735,553535.53485847,732405.035422692,63349.4750379013,17103.5609998378
231600,3.1429,52,1279,287,534,291,37.83,-122.25,5981.93628131735,553535.53485847,732405.035422692,63349.4750379013,17103.5609998378
218500,2.4234,28,5022,1750,2558,1661,37.83,-122.25,5981.93628131735,553535.53485847,732405.035422692,63349.4750379013,17103.5609998378
234100,3.0897,52,4190,1105,1786,1037,37.83,-122.25,5981.93628131735,553535.53485847,732405.035422692,63349.4750379013,17103.5609998378
327600,5.8596,50,2515,399,970,373,37.84,-122.23,8006.9337455887,553196.250487233,732109.807309808,63472.7852807822,19148.0284655609
347600,5.2868,47,3175,454,1098,485,37.84,-122.23,8006.9337455887,553196.250487233,732109.807309808,63472.7852807822,19148.0284655609
366100,5956,41,2576,406,794,376,37.83,-122.24,6607.19402132895,552950.080937517,731833.962972968,62916.5802677,17924.6471751246
335000,4.9643,37,334,54,98,47,37.85,-122.24,8259.08510932293,554610.717069378,733525.68293736,64867.2898334847,18811.4874496884
373600,6.3434,52,2800,411,1061,403,37.85,-122.23,8810.49828547664,554028.013287066,732956.753201699,64456.7504165903,19600.2259653727
389500,5.1773,52,3529,574,1177,555,37.84,-122.24,7395.76357883113,553779.906366819,732679.469012332,63889.7038641264,18339.7407263717
391100,7.2354,52,2612,365,901,367,37.85,-122.24,8259.08510932293,554610.717069378,733525.68293736,64867.2898334847,18811.4874496884
337300,5457,28,5287,1048,2031,956,37.85,-122.22,9411.71336422041,553446.157415254,732388.503123074,64055.6991563771,20396.3003879235
295200,7.5,50,2935,473,1031,479,37.84,-122.22,8664.17575344934,552613.44197946,731540.825059423,63065.4218150826,19962.2524108568
292300,6.0194,44,3424,597,1358,597,37.84,-122.21,9357.78709042734,552031.483533487,730972.523853631,62667.7998071733,20781.7148266594
411500,7.5544,40,4991,674,1616,654,37.83,-122.21,8748.16138905638,551198.794740729,730124.817898422,61675.2305255111,20416.6476769635
311500,6.0666,30,2211,346,844,343,37.84,-122.2,10080.2629475809,551450.377846724,730404.905287931,62280.1058423969,21605.8196604777
325900,7.0548,34,3038,490,1140,496,37.84,-122.21,9357.78709042734,552031.483533487,730972.523853631,62667.7998071733,20781.7148266594
392600,11.6017,18,1617,210,533,194,37.84,-122.19,10825.8259229329,550870.127623991,729837.970960858,61902.5264627215,22434.0552978805
319300,7.4882,35,2865,460,1072,443,37.84,-122.2,10080.2629475809,551450.377846724,730404.905287931,62280.1058423969,21605.8196604777
333300,6.8976,34,5065,788,1627,766,37.83,-122.21,8748.16138905638,551198.794740729,730124.817898422,61675.2305255111,20416.6476769635
335200,8.2049,28,1326,184,463,190,37.83,-122.19,10303.6241568699,550035.527233726,728988.797377164,60897.3795442136,22096.5233464689
351200,8401,26,1589,223,542,211,37.83,-122.2,9517.12943476246,550616.733519522,729556.46561798,61281.2040447971,21255.0231164565
368900,6.8538,29,1791,271,661,269,37.83,-122.19,10303.6241568699,550035.527233726,728988.797377164,60897.3795442136,22096.5233464689
365900,8317,32,1835,264,635,263,37.82,-122.19,9879.4582441999,549201.907411448,728140.328440663,59896.0076848091,21810.5181988391
366700,7.0175,37,1229,181,420,176,37.82,-122.2,9056.08442765898,549784.071610634,728708.731743022,60286.2604745384,20957.4193571316
362800,6.3302,39,3770,534,1265,500,37.82,-122.2,9056.08442765898,549784.071610634,728708.731743022,60286.2604745384,20957.4193571316
483300,6.3624,30,292,38,126,52,37.81,-122.18,9430.44816519297,547787.005247504,726724.112346226,58512.3155182014,22442.1118691487
331400,7.0549,52,2375,333,813,350,37.82,-122.21,8244.10925029415,550367.090206215,729277.818881591,60686.8011553698,20106.5210380489
323500,6.7851,45,2964,436,1067,426,37.81,-122.2,8713.34829677824,548952.396590534,727861.706129194,59295.4743822129,20715.3010716672
216700,2.8929,50,2833,605,1260,552,37.8,-122.21,7632.42688548035,548706.651809434,727585.951536702,58723.197476336,19661.0305937595
233100,3.0812,38,2254,535,951,487,37.8,-122.21,7632.42688548035,548706.651809434,727585.951536702,58723.197476336,19661.0305937595
296400,5.2402,52,1389,212,510,224,37.81,-122.21,7865.95246331904,549536.37439889,728431.529269196,59702.7173163948,19853.9096603499
273700,6.5217,52,1971,335,765,308,37.81,-122.22,7026.22866235321,550121.203328844,729002.034428676,60120.1214557008,18994.1045786641
227700,3.2632,52,2183,465,1129,460,37.8,-122.22,6763.64753654356,549292.441222136,728157.193625057,59147.5715447,18792.2825090118
199600,3.0298,52,2286,464,1073,441,37.8,-122.22,6763.64753654356,549292.441222136,728157.193625057,59147.5715447,18792.2825090118
239800,4.5428,52,2721,541,1185,515,37.8,-122.22,6763.64753654356,549292.441222136,728157.193625057,59147.5715447,18792.2825090118
270100,4072,52,2024,339,756,340,37.81,-122.22,7026.22866235321,550121.203328844,729002.034428676,60120.1214557008,18994.1045786641
302100,5.3509,52,2944,536,1034,521,37.81,-122.22,7026.22866235321,550121.203328844,729002.034428676,60120.1214557008,18994.1045786641
269500,3.1603,52,2033,486,787,459,37.8,-122.23,5897.79929046248,549879.07846517,728729.115907927,59581.9612182126,17924.5111194146
314700,4.7708,52,1433,229,612,213,37.81,-122.23,6197.29633514239,550706.880662679,729573.220001856,60547.4766468885,18136.1114548777
390100,8.1564,52,2927,402,1021,380,37.81,-122.22,7026.22866235321,550121.203328844,729002.034428676,60120.1214557008,18994.1045786641
410300,8.8793,52,2315,292,861,258,37.81,-122.23,6197.29633514239,550706.880662679,729573.220001856,60547.4766468885,18136.1114548777
352400,6.8591,52,2485,313,953,327,37.81,-122.24,5384.14210717744,551293.403690291,730145.084386076,60984.573686706,17280.2002025792
287300,6.0302,52,1490,238,634,256,37.81,-122.24,5384.14210717744,551293.403690291,730145.084386076,60984.573686706,17280.2002025792
348700,7508,52,2814,365,878,352,37.81,-122.23,6197.29633514239,550706.880662679,729573.220001856,60547.4766468885,18136.1114548777
243800,2.7477,52,2093,550,918,483,37.81,-122.24,5384.14210717744,551293.403690291,730145.084386076,60984.573686706,17280.2002025792
211500,2.1944,52,888,168,360,175,37.8,-122.24,5036.39411717906,550466.560821755,729301.716779253,60026.149053395,17057.8654962329
218400,3.0149,52,2087,510,1197,488,37.8,-122.25,4182.1783564641,551054.885582785,729874.994636102,60479.9191612325,16192.5264087447
269900,3675,52,2513,502,1048,518,37.81,-122.24,5384.14210717744,551293.403690291,730145.084386076,60984.573686706,17280.2002025792
218800,3225,46,3232,835,1373,747,37.81,-122.25,4595.14987977277,551880.769709182,730717.62598178,61431.2046241796,16426.696262621
225000,2.9345,42,4120,1065,1715,1015,37.8,-122.25,4182.1783564641,551054.885582785,729874.994636102,60479.9191612325,16192.5264087447
250000,2.1429,43,2364,792,1359,722,37.8,-122.25,4182.1783564641,551054.885582785,729874.994636102,60479.9191612325,16192.5264087447
171400,1.6121,41,1471,469,1062,413,37.8,-122.25,4182.1783564641,551054.885582785,729874.994636102,60479.9191612325,16192.5264087447
193800,1.3929,29,2468,864,1335,773,37.8,-122.25,4182.1783564641,551054.885582785,729874.994636102,60479.9191612325,16192.5264087447
125000,2.3173,27,1632,492,1171,429,37.79,-122.24,4920.81365501877,549640.721125416,728459.066939562,59073.105181998,16905.8891554195
97500,1.7772,45,1786,526,1475,460,37.79,-122.25,4042.11469450141,550230.006421439,729033.082182706,59534.201800604,16032.2278575783
125000,2.6458,50,629,188,742,196,37.79,-122.25,4042.11469450141,550230.006421439,729033.082182706,59534.201800604,16032.2278575783
138800,2181,52,1339,391,1086,363,37.79,-122.25,4042.11469450141,550230.006421439,729033.082182706,59534.201800604,16032.2278575783
116700,2.2303,36,1678,606,1645,543,37.8,-122.25,4182.1783564641,551054.885582785,729874.994636102,60479.9191612325,16192.5264087447
151800,1.6504,43,2344,647,1710,644,37.8,-122.25,4182.1783564641,551054.885582785,729874.994636102,60479.9191612325,16192.5264087447
127000,2.2697,52,996,228,731,228,37.8,-122.24,5036.39411717906,550466.560821755,729301.716779253,60026.149053395,17057.8654962329
128600,2.1563,52,1591,373,1118,347,37.8,-122.24,5036.39411717906,550466.560821755,729301.716779253,60026.149053395,17057.8654962329
140600,2.1348,52,1586,398,1006,335,37.8,-122.24,5036.39411717906,550466.560821755,729301.716779253,60026.149053395,17057.8654962329
182700,2.6292,47,2046,588,1213,554,37.8,-122.24,5036.39411717906,550466.560821755,729301.716779253,60026.149053395,17057.8654962329
146900,2.3833,52,1192,289,772,257,37.8,-122.23,5897.79929046248,549879.07846517,728729.115907927,59581.9612182126,17924.5111194146
122800,2957,52,1803,420,1321,401,37.8,-122.24,5036.39411717906,550466.560821755,729301.716779253,60026.149053395,17057.8654962329
169300,2.5238,49,2838,749,1487,677,37.8,-122.24,5036.39411717906,550466.560821755,729301.716779253,60026.149053395,17057.8654962329
126600,1.9375,52,783,184,488,186,37.8,-122.23,5897.79929046248,549879.07846517,728729.115907927,59581.9612182126,17924.5111194146
127900,1.9028,51,1590,414,949,392,37.8,-122.23,5897.79929046248,549879.07846517,728729.115907927,59581.9612182126,17924.5111194146
123500,2.25,50,1746,480,1149,415,37.8,-122.23,5897.79929046248,549879.07846517,728729.115907927,59581.9612182126,17924.5111194146
111900,2.3929,52,1252,299,844,280,37.8,-122.23,5897.79929046248,549879.07846517,728729.115907927,59581.9612182126,17924.5111194146
112800,2.1917,43,5963,1344,4367,1231,37.79,-122.23,5799.52176777353,549052.277636469,727885.728451502,58621.635265738,17780.059477454
107900,2.9357,52,1783,395,1659,412,37.79,-122.23,5799.52176777353,549052.277636469,727885.728451502,58621.635265738,17780.059477454
137500,1.8854,30,999,264,1011,263,37.79,-122.23,5799.52176777353,549052.277636469,727885.728451502,58621.635265738,17780.059477454
105500,2.1638,39,1469,431,1464,389,37.79,-122.24,4920.81365501877,549640.721125416,728459.066939562,59073.105181998,16905.8891554195
95500,2125,47,1372,395,1237,303,37.79,-122.24,4920.81365501877,549640.721125416,728459.066939562,59073.105181998,16905.8891554195
116100,3375,52,674,180,647,168,37.79,-122.24,4920.81365501877,549640.721125416,728459.066939562,59073.105181998,16905.8891554195
112200,2.2542,43,1626,376,1284,357,37.79,-122.24,4920.81365501877,549640.721125416,728459.066939562,59073.105181998,16905.8891554195
75000,2.1,51,175,43,228,55,37.79,-122.25,4042.11469450141,550230.006421439,729033.082182706,59534.201800604,16032.2278575783
112500,1.6,39,461,129,381,123,37.79,-122.25,4042.11469450141,550230.006421439,729033.082182706,59534.201800604,16032.2278575783
125000,3625,52,902,237,846,227,37.79,-122.25,4042.11469450141,550230.006421439,729033.082182706,59534.201800604,16032.2278575783
115000,1.6929,20,2373,779,1659,676,37.8,-122.26,3340.67161897622,551644.050046826,730448.94787868,60943.0574938264,15328.7151395687
95000,1.6471,52,391,128,520,138,37.77,-122.22,4226.27769924116,546812.170383325,725626.974220773,56260.918400124,18577.0997033383
96400,2.59,52,1137,301,866,259,37.77,-122.22,4226.27769924116,546812.170383325,725626.974220773,56260.918400124,18577.0997033383
72000,2.57,52,769,206,612,183,37.77,-122.23,4276.79661607913,547401.698229812,726201.113436557,56717.6047750841,17698.4156150169
71300,2.6429,52,472,146,415,126,37.78,-122.23,5377.37195161567,548226.482707203,727043.060126567,57666.7580514731,17704.4002202584
80800,3.0257,52,862,215,994,213,37.78,-122.23,5377.37195161567,548226.482707203,727043.060126567,57666.7580514731,17704.4002202584
128800,1.4886,50,1920,530,1525,477,37.78,-122.22,5337.28592845899,547637.920205881,726469.661022184,57217.7086864197,18582.685333928
112500,1.9338,43,1420,472,1506,438,37.78,-122.23,5377.37195161567,548226.482707203,727043.060126567,57666.7580514731,17704.4002202584
119400,1.4844,52,986,258,1008,255,37.78,-122.23,5377.37195161567,548226.482707203,727043.060126567,57666.7580514731,17704.4002202584
